outcome,representation,eeg_id,channel,band,n,r_pearson,p_raw_parametric,permutation_exceedances,p_permutation,p_maxT_block64,p_maxT_outcome192,p_maxT_global576,q_BH_raw_block64,q_BH_raw_outcome192,q_BH_raw_global576,q_BH_permutation_block64,q_BH_permutation_outcome192,q_BH_permutation_global576,q_BY_permutation_global576
BAI,OC,EEG21,C4,delta,25,-0.08100175676265,0.7003060435711479,7019,0.7019298070192981,0.9223077692230776,0.9989001099890013,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG22,C4,theta,25,-0.045996078499129,0.8271786764806398,8280,0.828017198280172,0.9936006399360064,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG23,C4,alpha,25,-0.0020892606195255,0.9920919236321124,9923,0.9923007699230078,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG24,C4,beta,25,0.0018063121862178,0.9931628875371248,9933,0.9933006699330068,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG25,P3,delta,25,-0.0767154655147256,0.7155015109195733,7191,0.7191280871912809,0.9354064593540646,0.9993000699930008,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG26,P3,theta,25,-0.035796244221049,0.8651107450303053,8653,0.8653134686531346,0.9986001399860014,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG27,P3,alpha,25,0.0019012812287196,0.9928034269692302,9914,0.9914008599140086,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG28,P3,beta,25,0.0066648859807469,0.9747762253464864,9737,0.9737026297370264,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG29,P4,delta,25,-0.0791566566955445,0.7068338472006802,7099,0.7099290070992901,0.928107189281072,0.999000099990001,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG30,P4,theta,25,-0.0421044829021705,0.841611453383144,8418,0.8418158184181582,0.9965003499650036,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG31,P4,alpha,25,-0.0062613749851093,0.9763029112468083,9769,0.9769023097690231,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG32,P4,beta,25,-0.0032130510824819,0.9878385093775732,9863,0.9863013698630136,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG33,O1,delta,25,-0.0785673590574483,0.7089230023774293,7131,0.7131286871312869,0.9298070192980702,0.9992000799920008,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG34,O1,theta,25,-0.043775206700866,0.8354088686195031,8346,0.8346165383461653,0.9957004299570044,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG35,O1,alpha,25,0.0019659395230838,0.9925586942339464,9929,0.9929007099290073,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG36,O1,beta,25,0.0039072634670376,0.9852111514150586,9839,0.983901609839016,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG37,O2,delta,25,-0.0879974634772067,0.6757463129772793,6755,0.6755324467553244,0.8988101189881011,0.9971002899710028,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG38,O2,theta,25,-0.0428379955716614,0.8388871257015676,8375,0.8375162483751625,0.996000399960004,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG39,O2,alpha,25,-0.0055406365333977,0.979030027004009,9793,0.9793020697930208,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG40,O2,beta,25,-0.0001960467790284,0.9992579305985924,9992,0.9992000799920008,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG41,F7,delta,25,-0.0804361421070517,0.7023049694924149,7039,0.7039296070392961,0.9245075492450756,0.9989001099890013,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG42,F7,theta,25,-0.0442045827290202,0.8338163307610154,8337,0.8337166283371663,0.9956004399560044,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG43,F7,alpha,25,0.0018095056998955,0.9931507999742276,9923,0.9923007699230078,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG44,F7,beta,25,0.0034969469931872,0.9867640434484936,9861,0.986101389861014,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG45,F8,delta,25,-0.0749620243966176,0.7217485159923376,7243,0.7243275672432756,0.93990600939906,0.9995000499950004,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG46,F8,theta,25,-0.0435183197588603,0.8363619531776797,8357,0.8357164283571643,0.9958004199580042,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG47,F8,alpha,25,-0.0069191053368482,0.9738144290649966,9739,0.973902609739026,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG48,F8,beta,25,0.0013449437471711,0.9949091975804673,9946,0.9946005399460054,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG49,T7,delta,25,-0.0767650278553075,0.7153251904997803,7191,0.7191280871912809,0.9354064593540646,0.9993000699930008,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG50,T7,theta,25,-0.045434910897957,0.8292566365940527,8292,0.8292170782921707,0.994100589941006,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG51,T7,alpha,25,0.0042380607650944,0.9839592470713748,9818,0.9818018198180182,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG52,T7,beta,25,0.0002614508259925,0.9990103655944532,9996,0.9996000399960004,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG53,T8,delta,25,-0.074176820104929,0.7245516232838896,7282,0.7282271772822718,0.9411058894110588,0.9995000499950004,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG54,T8,theta,25,-0.0365360888295569,0.8623485348910008,8623,0.8623137686231377,0.9985001499850016,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG55,T8,alpha,25,-0.0104124459973315,0.960602120039934,9634,0.9634036596340366,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG56,T8,beta,25,0.001914509441607,0.9927533579081148,9922,0.9922007799220078,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG57,P7,delta,25,-0.0721997621910397,0.7316247431164344,7370,0.7370262973702629,0.9471052894710528,0.9995000499950004,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG58,P7,theta,25,-0.0395004036438213,0.8512973186310221,8507,0.8507149285071492,0.9977002299770024,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG59,P7,alpha,25,0.0056552974672111,0.9785961591859752,9803,0.9803019698030196,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
