analysis_family,analysis_label,scheme,model_id,outcome,predictor_id,zone,band,n_source_features,source_channels,source_eeg_ids,moderator_id,n,n_w0,n_w1,x_mean_db,x_sd_db,beta_interaction,se_interaction,t_interaction,df_resid,p_raw,p_hc3,r2_full,r2_reduced,delta_r2,cohen_f2_interaction,slope_w0,se_slope_w0,ci95_low_slope_w0,ci95_high_slope_w0,p_slope_w0,slope_w1,se_slope_w1,ci95_low_slope_w1,ci95_high_slope_w1,p_slope_w1,design_rank,condition_number,status,p_FDR_block,hit_FDR_block_0_10,p_FDR_scheme_global,hit_FDR_scheme_global_0_10,p_FDR_aggregation_global_750,hit_FDR_aggregation_global_0_10,p_BY_aggregation_global_750,p_FDR_full_search_2670,hit_FDR_full_search_0_10,p_BY_full_search_2670
OA,Ojos abiertos,ZONE_BAND,BAI_ZB_TEMPORAL_ALPHA_W4,BAI,ZB_TEMPORAL_ALPHA,temporal,alpha,2,T7 | T8,EEG51 | EEG55,W4,25,17,8,18.675382062980805,5.089654391770822,1.0962216129571871,1.1033609154405406,0.9935294948520964,21.0,0.331762827859833,0.1553090171733251,0.1287072086132499,0.0877522628418836,0.0409549457713662,0.047004802721003,-0.0473016842357386,0.5386229274701223,-1.1674293812903576,1.0728260128188805,0.9308520723985746,1.0489199287214486,0.9629593198704206,-0.9536636047906282,3.051503462233525,0.2883787220170786,4,11.731033112161056,ok,0.5938739919768675,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OC,Ojos cerrados,ZONE_BAND,BAI_ZB_FRONTAL_THETA_W1,BAI,ZB_FRONTAL_THETA,frontal,theta,6,Fp1 | Fp2 | F3 | F4 | F7 | F8,EEG2 | EEG6 | EEG10 | EEG14 | EEG42 | EEG46,W1,25,8,17,17.247263672443356,11.36328711756634,0.449514130800391,0.4527769454156852,0.9927937704242014,21.0,0.3321129426000256,0.1967089024606155,0.4553595118122321,0.4297966945531383,0.0255628172590938,0.0469352128853866,-0.3265362218513067,0.4138221621190293,-1.1871265194491822,0.5340540757465688,0.4388873229171526,0.1229779089490842,0.1837339936949342,-0.2591178480860091,0.5050736659841777,0.5105801082568172,4,40.3556595216654,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OC,Ojos cerrados,ZONE_BAND,MSPSS_ZB_TEMPORAL_THETA_W5,MSPSS,ZB_TEMPORAL_THETA,temporal,theta,2,T7 | T8,EEG50 | EEG54,W5,25,11,14,17.275949836954464,11.393341431240168,0.353430869161321,0.3565473834632487,0.9912591861657878,21.0,0.3328440406566235,0.2593592072894961,0.2740902665073894,0.2401247850483263,0.033965481459063,0.046790227340861,-0.1970797154738734,0.2868630520595354,-0.7936440900777204,0.3994846591299735,0.499589474503001,0.1563511536874476,0.2117442467165922,-0.2839951133258112,0.5966974207007064,0.4684462561328028,4,32.3967647911154,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OA,Ojos abiertos,ZONE_BAND,BAI_ZB_CENTRAL_DELTA_W2,BAI,ZB_CENTRAL_DELTA,central,delta,2,C3 | C4,EEG17 | EEG21,W2,25,18,7,19.82149507444428,13.718131930474714,0.577999861212775,0.584364817482862,0.9891079064316296,21.0,0.3338708165747889,0.8074035197511991,0.0630879216016689,0.0194396661993803,0.0436482554022886,0.0465873547888358,-0.0254037846623237,0.1957173588506209,-0.4324203137816104,0.3816127444569629,0.8979612376088306,0.5525960765504513,0.5506150700410547,-0.5924706462226271,1.6976627993235298,0.3269972584898086,4,34.086507435954815,ok,0.5938739919768675,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OC,Ojos cerrados,ZONE_BAND,BAI_ZB_OCCIPITAL_BETA_W1,BAI,ZB_OCCIPITAL_BETA,occipital,beta,2,O1 | O2,EEG36 | EEG40,W1,25,8,17,9.984863309407029,9.960463246486944,0.4134989977477908,0.4186947878907663,0.9875905067527828,21.0,0.3345963670505758,0.2200375027349922,0.4545747732899607,0.4292427581272248,0.0253320151627359,0.046444524239439,-0.2447554633306466,0.3522946252391031,-0.9773922434010348,0.4878813167397415,0.4948298716553821,0.1687435344171441,0.2262605189478142,-0.3017909733019998,0.639278042136288,0.4640593778577,4,32.6879581046116,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
DELTA_OC_MINUS_OA,Reactividad OC−OA,ZONE_BAND,MSPSS_ZB_FRONTAL_ALPHA_W1,MSPSS,ZB_FRONTAL_ALPHA,frontal,alpha,6,Fp1 | Fp2 | F3 | F4 | F7 | F8,EEG3 | EEG7 | EEG11 | EEG15 | EEG43 | EEG47,W1,25,8,17,0.47006688644992,2.161725189367838,-4.804054685302305,4.864689227851736,-0.987535782922724,21.0,0.3346225538103607,0.3070049328328691,0.1713557842713372,0.1328740629191354,0.0384817213522018,0.0464393772644188,4.9090761711616775,4.7650466861810905,-5.000380888194268,14.818533230517623,0.314624093818739,0.1050214858593721,0.9795567171385888,-1.9320782247980328,2.142121196516777,0.9156374655403792,4,10.309108532961991,ok,0.880585667922002,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OC,Ojos cerrados,ZONE_BAND,BAI_ZB_CENTRAL_BETA_W1,BAI,ZB_CENTRAL_BETA,central,beta,2,C3 | C4,EEG20 | EEG24,W1,25,8,17,10.05936711409323,10.03028756571393,0.4103601200030718,0.41618137258665,0.9860127027132476,21.0,0.3353519553380376,0.2221991999357375,0.4546658903805327,0.4294189713040087,0.0252469190765239,0.0462962404719947,-0.2407757771602267,0.3504161301058305,-0.9695060127442076,0.4879544584237543,0.4995295089760656,0.1695843428428451,0.2245338964382921,-0.2973594568008782,0.6365281424865685,0.4584732592115176,4,32.93604929993864,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OC,Ojos cerrados,ZONE_BAND,BAI_ZB_TEMPORAL_BETA_W3,BAI,ZB_TEMPORAL_BETA,temporal,beta,2,T7 | T8,EEG52 | EEG56,W3,25,6,19,10.185824845706325,10.10937608703711,-0.6690920440007483,0.6786189644348228,-0.9859613112315408,21.0,0.335376585807021,0.471364025227772,0.04988241003096,0.0059001227257573,0.0439822873052027,0.0462914146307257,0.575265236109027,0.621406829845532,-0.7170210104460787,1.8675514826641328,0.3650948608973325,-0.0938268078917212,0.2727219292831387,-0.6609831077897796,0.4733294920063371,0.7342384939376465,4,41.11692334975541,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OC,Ojos cerrados,ZONE_BAND,BAI_ZB_PARIETAL_BETA_W3,BAI,ZB_PARIETAL_BETA,parietal,beta,4,P3 | P4 | P7 | P8,EEG28 | EEG32 | EEG60 | EEG64,W3,25,6,19,10.194801346574195,10.08027651159297,-0.6703912001677932,0.6802263123645299,-0.9855414117067172,21.0,0.335577878471004,0.6508249182777398,0.0499457011352699,0.0060037953959675,0.0439419057393024,0.0462519940089855,0.5806294796467718,0.6228052274238816,-0.7145648938727033,1.875823853166247,0.3617868236840673,-0.0897617205210213,0.273535161773647,-0.6586092299653233,0.4790857889232806,0.7460445020321408,4,40.99479607326971,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OC,Ojos cerrados,ZONE_BAND,BAI_ZB_PARIETAL_BETA_W1,BAI,ZB_PARIETAL_BETA,parietal,beta,4,P3 | P4 | P7 | P8,EEG28 | EEG32 | EEG60 | EEG64,W1,25,8,17,10.194801346574195,10.08027651159297,0.4077724559535233,0.4139577870787476,0.9850580631207024,21.0,0.3358096908204129,0.223819945330644,0.4546756310324755,0.4294780255899868,0.0251976054424887,0.0462066375104342,-0.2382805180948949,0.3484751142879037,-0.96297419031108,0.48641315412129,0.5015898424607924,0.1694919378586283,0.2234415901419568,-0.2951802864885529,0.6341641622058096,0.4565506978817848,4,33.09054952132034,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
