model_kind,target_id,representation,local_outcome,lemon_outcome,external_moderator,external_moderator_label,external_moderator_type,external_W_positive_definition,local_analogue,W_equivalence,external_W_n_available,external_W_missing,external_W_n0,external_W_n1,n,df_resid,beta_interaction_std,se_interaction,t_interaction,p_raw,se_hc3,t_hc3,p_hc3,r2_full,r2_reduced,delta_r2,cohen_f2_interaction,slope_W_low_std,slope_W_high_std,condition_number,eeg_id,channel,band,local_moderators,local_p_min,permutation_exceedances,p_permutation,p_maxT_global,q_BH_raw_global,q_BH_HC3_global,q_BH_permutation_global,q_BY_permutation_global,q_BH_permutation_within_W,q_BH_permutation_within_target_id,p_maxT_within_W,naive_p_lt_0_05,hc3_p_lt_0_05,permutation_p_lt_0_05,robust_nominal,triangulated_nominal
feature,TARGET__OC__MSPSS__EEG10,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0996341359945629,0.0769820365907326,1.2942517554355948,0.1978728828397405,0.0844291172579426,1.1800921202358052,0.2401184589269129,0.0762425384821428,0.0643396563655848,0.0119028821165579,0.0128852892803701,0.1300618627299827,0.3293301347191086,1.3769261061504698,EEG10,F3,theta,W4,0.0347846023678833,1982,0.1982801719828017,1.0,0.9240553659651414,0.9184859084636012,0.9118465316098148,1.0,0.8090100080901,0.7156784321567843,0.944005599440056,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG18,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0965557551365001,0.0749201590621026,1.2887820360400375,0.1997626173969161,0.0796111177253357,1.212842601577641,0.2273893348973688,0.0640728903014927,0.0521149158101355,0.0119579744913572,0.0127766087416885,0.0996116897614323,0.2927232000344325,1.4106865765444818,EEG18,C3,theta,W4,0.0358267801609531,1948,0.1948805119488051,1.0,0.9240553659651414,0.9094288929128624,0.9118465316098148,1.0,0.8090100080901,0.6498150184981502,0.9462053794620536,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG22,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0827947147120809,0.0765438094753271,1.081664412571061,0.2814040722393233,0.079789463281221,1.037664765587754,0.3013523838883066,0.0597158869615652,0.0512533451231342,0.0084625418384309,0.0089999838570973,0.1066396326650833,0.2722290620892453,1.3954508107589327,EEG22,C4,theta,W4,0.0364824153601674,2816,0.2816718328167183,1.0,0.9240553659651414,0.9488919985621757,0.9118465316098148,1.0,0.8090100080901,0.7549911675499117,0.9897010298970104,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG30,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0772661105508352,0.0740916708182452,1.0428447583585645,0.2989556208878115,0.0759355295610836,1.017522508863013,0.310794878431853,0.0514504835978156,0.0435153182664023,0.0079351653314133,0.0083655783848914,0.0836916421334665,0.2382238632351371,1.3978667620850729,EEG30,P4,theta,W4,0.0367556740163888,2984,0.2984701529847015,1.0,0.9240553659651414,0.9488919985621757,0.9118465316098148,1.0,0.8090100080901,0.6964303569643037,0.9926007399260074,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG53,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,-0.0246668179918058,0.0777055446145127,-0.3174396127609005,0.7514193334939236,0.0822016225731903,-0.3000770206189428,0.7645977092050799,0.0360337917912109,0.0352865851916518,0.000747206599559,0.0007751377519213,0.1301291970799291,0.0807955610963175,1.170270617454868,EEG53,T8,delta,W4,0.0369640002416077,7536,0.7536246375362464,1.0,0.9798446861877692,0.996296827095842,0.9765811739993884,1.0,0.8763077180654029,0.8792287437922875,1.0,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG1,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.01326656121902,0.083788770395723,0.1583334038244494,0.8744397789107017,0.0842975340122113,0.1573778091432461,0.8751912746716967,0.0362740997887366,0.0360882529085253,0.0001858468802112,0.0001928420520508,0.0927663252768367,0.1192994477148769,1.377573508595849,EEG1,Fp1,delta,W4,0.0371765040761449,8741,0.8741125887411259,1.0,0.9827782335685468,0.996296827095842,0.9805750194211348,1.0,0.9501223790664411,0.8741125887411259,1.0,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG46,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0866507064884624,0.0786469562782705,1.1017680860003387,0.2725981765077258,0.0894747111282998,0.968437957449363,0.3346239752113136,0.0792681566702085,0.070670696196857,0.0085974604733515,0.0093376378102218,0.1416594368312462,0.3149608498081711,1.2304998047475326,EEG46,F8,theta,W4,0.037300816525276,2700,0.2700729927007299,1.0,0.9240553659651414,0.9488919985621757,0.9118465316098148,1.0,0.8090100080901,0.8126965081269649,0.987901209879012,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG9,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0561834130644629,0.0765926113978063,0.733535677125014,0.464552569782607,0.0851800787356105,0.6595839531781841,0.5106876492040013,0.0649608552878121,0.0610906952565415,0.0038701600312706,0.0041390353047324,0.1385300929635262,0.2508969190924521,1.1869271975455922,EEG9,F3,delta,W4,0.0373805689785554,4609,0.460953904609539,1.0,0.936442424062965,0.973689025705312,0.9275621110455328,1.0,0.8090100080901,0.9167916541679164,0.999900009999,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG38,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0740533826280356,0.0833615128887413,0.8883401951554212,0.3759985022396754,0.0896111737709649,0.8263855891153369,0.4100995298286783,0.0659577795418835,0.060287796214361,0.0056699833275224,0.0060703715563751,0.1220627078434875,0.2701694730995588,1.1697175556168662,EEG38,O2,theta,W4,0.0381984113175509,3745,0.3745625437456254,1.0,0.9240553659651414,0.9594215456082604,0.9118465316098148,1.0,0.8090100080901,0.8739792687397927,0.9991000899910008,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG14,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0723862911884119,0.0789358418401717,0.917026910728066,0.3608266426379166,0.0772786781284482,0.9366916326919512,0.3506540661321839,0.0661539923643016,0.0601131698605784,0.0060408225037231,0.0064687565769192,0.1291040866478957,0.2738766690247196,1.241029909668469,EEG14,F4,theta,W4,0.0385821877448471,3606,0.3606639336066393,1.0,0.9240553659651414,0.9488919985621757,0.9118465316098148,1.0,0.8090100080901,0.653949989616423,0.9986001399860014,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG2,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0977295717927249,0.0764493663323785,1.278356858679856,0.2034012812505544,0.0663960088972093,1.4719193731060627,0.1434593989709461,0.0621109227033597,0.0503209625444155,0.0117899601589441,0.0125707404471831,0.0724321106908193,0.2678912542762692,1.1989481310173498,EEG2,Fp1,theta,W4,0.0390269244562189,2042,0.2042795720427957,1.0,0.9240553659651414,0.8856127534210265,0.9118465316098148,1.0,0.8090100080901,0.7414591874145919,0.9498050194980502,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG17,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0466347422524829,0.0752976514657922,0.6193386027938617,0.5367772239699696,0.0744041194363426,0.6267763479464581,0.5319050024815897,0.0435406950198808,0.0407185492365045,0.0028221457833763,0.0029506177300821,0.0849080070468254,0.1781774915517912,1.2027122644253638,EEG17,C3,delta,W4,0.0392538879333417,5306,0.5306469353064693,1.0,0.936442424062965,0.9782461183923752,0.9275621110455328,1.0,0.8090100080901,0.8490787284907874,1.0,False,False,False,False,False
